entity,coupled,degree,average-revs,structurally_coupled,direction
crates/ra_syntax/src/validation/byte.rs,crates/ra_syntax/src/validation/char.rs,81,16,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,81,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,81,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,81,14,No,None
crates/ra_syntax/src/validation/byte.rs,crates/ra_syntax/src/validation/string.rs,80,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,80,10,No,None
crates/ra_assists/src/assists/merge_match_arms.rs,crates/ra_assists/src/assists/move_guard.rs,80,8,No,None
crates/ra_syntax/src/ast/generated.rs,crates/ra_syntax/src/grammar.ron,78,133,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,78,12,No,None
crates/ra_analysis/src/hir/db.rs,crates/ra_analysis/src/hir/module/nameres.rs,78,12,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,78,12,No,None
src/tree/file_builder.rs,src/tree/mod.rs,76,21,No,None
crates/ra_ide/src/snapshots/highlight_injection.html,crates/ra_ide/src/syntax_highlighting/html.rs,76,17,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,76,11,No,None
crates/ra_analysis/src/hir/db.rs,crates/ra_analysis/src/hir/query_definitions.rs,76,11,No,None
crates/ra_assists/src/assists/flip_binexpr.rs,crates/ra_assists/src/assists/flip_comma.rs,76,7,No,None
crates/assists/src/handlers/generate_enum_match_method.rs,crates/assists/src/handlers/generate_new.rs,76,7,No,None
tests/data/parser/err/0000_struct_field_missing_comma.txt,tests/data/parser/ok/0016_struct_flavors.txt,76,7,No,None
tests/data/parser/err/0003_C++_semicolon.txt,tests/data/parser/ok/0016_struct_flavors.txt,76,7,No,None
crates/ra_assists/src/assists/flip_binexpr.rs,crates/ra_assists/src/assists/move_guard.rs,76,7,No,None
crates/ra_assists/src/assists/change_visibility.rs,crates/ra_assists/src/assists/move_guard.rs,76,7,No,None
crates/ra_ide/test_data/highlight_injection.html,crates/ra_ide/test_data/highlight_strings.html,76,7,No,None
crates/ra_assists/src/assists/remove_dbg.rs,crates/ra_assists/src/assists/replace_if_let_with_match.rs,76,7,No,None
editors/code/src/commands/syntaxTree.ts,editors/code/src/events/change_text_document.ts,76,7,No,None
crates/ra_assists/src/assists/flip_comma.rs,crates/ra_assists/src/assists/split_import.rs,76,7,No,None
crates/ra_proc_macro/src/msg.rs,crates/ra_proc_macro/src/rpc.rs,76,7,No,None
crates/ra_syntax/src/validation/byte_string.rs,crates/ra_syntax/src/validation/char.rs,75,15,No,None
crates/ra_syntax/src/validation/char.rs,crates/ra_syntax/src/validation/string.rs,75,15,No,None
crates/ra_ide/src/snapshots/highlight_strings.html,crates/ra_ide/src/snapshots/highlight_unsafe.html,75,15,No,None
editors/code/src/commands/matching_brace.ts,editors/code/src/commands/parent_module.ts,75,12,No,None
crates/salsa/salsa-macros/src/query_group.rs,crates/salsa/src/input.rs,75,8,No,None
crates/salsa/src/input.rs,crates/salsa/src/interned.rs,75,8,No,None
tests/data/parser/err/0000_struct_field_missing_comma.txt,tests/data/parser/err/0003_C++_semicolon.txt,75,8,No,None
crates/ra_ide/test_data/highlight_doctest.html,crates/ra_ide/test_data/highlight_strings.html,75,8,No,None
crates/ra_ide_api/src/completion/complete_fn_param.rs,crates/ra_ide_api/src/completion/complete_keyword.rs,75,8,No,None
crates/ra_ide/src/snapshots/highlighting.html,crates/ra_ide/src/snapshots/rainbow_highlighting.html,74,30,No,None
crates/ide/src/inlay_hints/binding_mode.rs,crates/ide/src/inlay_hints/implicit_static.rs,74,18,No,None
crates/ra_ide/src/snapshots/highlight_doctest.html,crates/ra_ide/src/syntax_highlighting/injection.rs,74,14,No,None
crates/hir_ty/src/diagnostics/match_check/deconstruct_pat.rs,crates/hir_ty/src/diagnostics/match_check/usefulness.rs,74,14,No,None
crates/ra_assists/src/doc_tests/generated.rs,docs/user/assists.md,73,42,No,None
crates/ra_ssr/src/lib.rs,crates/ra_ssr/src/matching.rs,73,19,No,None
crates/completion/src/render/function.rs,crates/completion/src/render/macro_.rs,72,22,No,None
crates/ide/src/syntax_highlighting/test_data/injection.html,crates/ide/src/syntax_highlighting/test_data/rainbow_highlighting.html,72,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,72,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,72,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,72,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,72,11,No,None
crates/ide_completion/src/render/const_.rs,crates/ide_completion/src/render/type_alias.rs,72,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,72,11,No,None
crates/ra_analysis/src/hir/function/mod.rs,crates/ra_analysis/src/hir/mod.rs,71,14,No,None
crates/ide/src/inlay_hints/fn_lifetime_fn.rs,crates/ide/src/inlay_hints/implicit_static.rs,71,14,No,None
crates/ra_assists/src/assists/move_guard.rs,crates/ra_assists/src/assists/replace_if_let_with_match.rs,71,7,No,None
editors/code/src/events/change_active_text_editor.ts,editors/code/src/events/change_text_document.ts,71,7,No,None
crates/ssr/src/lib.rs,crates/ssr/src/tests.rs,71,7,No,None
tests/data/parser/err/0003_C++_semicolon.txt,tests/data/parser/ok/0002_struct_item_field.txt,71,7,No,None
crates/ra_assists/src/assists/add_impl.rs,crates/ra_assists/src/assists/flip_binexpr.rs,71,7,No,None
crates/ra_assists/src/assists/change_visibility.rs,crates/ra_assists/src/assists/flip_binexpr.rs,71,7,No,None
crates/completion/src/render/enum_variant.rs,crates/completion/src/render/macro_.rs,70,19,No,None
crates/ide-db/src/test_data/test_doc_alias.txt,crates/ide-db/src/test_data/test_symbol_index_collection.txt,70,17,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,70,10,No,None
crates/ra_analysis/src/hir/module/imp.rs,crates/ra_analysis/src/hir/module/nameres.rs,70,10,No,None
src/parser/event_parser/grammar/attributes.rs,src/parser/event_parser/grammar/expressions.rs,70,9,No,None
crates/ssr/src/matching.rs,crates/ssr/src/replacing.rs,70,9,No,None
